name	college	minLVL	minWP	energy	energyMaintainancePerTenSec	isStackable	desc
plague of insects	summoning	1	6	3	1	FALSE	This spell summons a swarm of insects which surround and slow the target creature.
orcish champion	summoning	1	9	10	2	FALSE	This spell summons an orc fighter to do the caster's bidding.
guardian ogre	summoning	5	12	15	3	FALSE	This spell summons a powerful ogre to do the caster's bidding.
hellgate	summoning	10	15	30	6	FALSE	This spell summons a demon to do the caster's bidding.
familiar	summoning	15	18	60	0	FALSE	This spell summons a familiar for the caster to do the caster's bidding. The type of Familiar scales with the caster's Magickal Aptitude.
magelock	temporal	1	6	5	1	FALSE	This spell blocks any portal or container, rendering keys, lock picks, and the Unlocking Cantrip spell useless.
congeal time	temporal	1	9	10	2	FALSE	This spell halves the base speed of all creatures in the vicinity of the caster who fail their saving throws.
hasten	temporal	5	12	20	3	FALSE	This spell will double the target creature's base speed.
stasis	temporal	10	15	25	4	FALSE	This spell paralyzes the target, unless it makes its saving throw.
tempus fugit	temporal	15	18	40	5	FALSE	This spell adds +10 to the base speed of the caster and his entire group, while slowing down every other creature in the world. Only one instance of Tempus Fugit can be active in the Arcanum universe at a time.
